country_name,country_code,indicator_code,indicator_label,respondent_type,value_pct,global_avg_pct,page_number,extraction_note
Austria,AT,employer_confident_growth,Employers confident of growing next year,employer,100.0,95.0,37,
Austria,AT,employer_generational_diversity_productivity,Employers highlight generational diversity as a productivity lever,employer,95.0,95.0,37,
Austria,AT,employer_remote_collaboration_challenging,Employers say remote/hybrid work has made collaboration more challenging,employer,95.0,81.0,37,
Austria,AT,employer_want_improve_collaboration,Employers want management to spend more time improving team collaboration,employer,39.0,90.0,37,
Austria,AT,talent_ai_benefits_company_more,"Talent believe AI adoption will mainly benefit companies, not them",talent,68.0,47.0,37,
Austria,AT,talent_ai_high_proportion_tasks,Talent agree AI will impact high proportion of tasks (50-100%),talent,50.0,52.0,37,
Austria,AT,talent_ai_improves_productivity,Talent feel AI helps improve productivity,talent,53.0,62.0,37,
Austria,AT,talent_confident_use_technology,Talent feel confident using latest technology,talent,65.0,69.0,37,
Austria,AT,talent_job_security_retention,Job security as reason for staying in current role,talent,37.0,23.0,37,
Austria,AT,talent_left_lack_independence,Talent left because they weren't given enough independence,talent,26.0,25.0,37,
Austria,AT,talent_manager_best_interests,Talent believe their manager has their best interests in mind,talent,70.0,71.0,37,
Austria,AT,talent_multigenerational_more_productive,Talent believe they are more productive when collaborating across generations,talent,70.0,78.0,37,
Austria,AT,talent_no_hours_flexibility,Talent would not accept a role without working hours flexibility,talent,26.0,43.0,37,
Austria,AT,talent_no_location_flexibility,Talent would not accept a new job without work location flexibility,talent,39.0,43.0,37,
Austria,AT,talent_optimism,Talent share optimism about business outlook,talent,42.0,51.0,37,
Austria,AT,talent_pay_attracts,Pay attracts talent (primary attraction driver),talent,78.0,81.0,37,
Austria,AT,talent_pay_retention_reason,Pay/benefits as reason for staying in current role,talent,20.0,23.0,37,
Austria,AT,talent_quit_personal_life,Talent quit jobs that didn't fit their personal lives,talent,40.0,39.0,37,
Austria,AT,talent_rely_different_generations,Talent rely on people from different generations to broaden perspectives,talent,68.0,74.0,37,
Austria,AT,talent_second_job,Talent taking on or looking for a second job,talent,76.0,40.0,37,
Austria,AT,talent_strong_manager_relationship,Talent say they have a strong relationship with their manager,talent,76.0,72.0,37,
Austria,AT,talent_trust_colleagues,Talent trust their colleagues,talent,75.0,76.0,37,
Austria,AT,talent_trust_leadership,Talent trust the leadership of their company,talent,67.0,72.0,37,
Austria,AT,talent_want_linear_career,"Talent want to follow a traditional, linear career path",talent,33.0,41.0,37,
Austria,AT,talent_want_portfolio_career,Talent want to have a portfolio career (switching sectors and jobs),talent,31.0,38.0,37,
Austria,AT,talent_wlb_attracts,"Work-life balance attracts talent (primary attraction driver, NL/LU/TR only)",talent,,78.0,37,not in RM — pay is primary attraction driver for this country
Austria,AT,talent_wlb_main_retention_reason,Work-life balance is main reason for staying in current role,talent,36.0,46.0,37,
Belgium,BE,employer_ai_high_proportion_tasks,Employers estimate AI will impact high proportion of tasks (50-100%),employer,24.0,68.0,38,
Belgium,BE,employer_ai_improves_productivity,Employers feel AI helps improve productivity,employer,38.0,54.0,38,
Belgium,BE,employer_autonomy_engagement,"Employers agree greater autonomy leads to higher engagement, productivity and retention",employer,80.0,72.0,38,
Belgium,BE,employer_confident_growth,Employers confident of growing next year,employer,68.0,95.0,38,
Belgium,BE,employer_generational_diversity_productivity,Employers highlight generational diversity as a productivity lever,employer,82.0,95.0,38,
Belgium,BE,employer_remote_collaboration_challenging,Employers say remote/hybrid work has made collaboration more challenging,employer,66.0,81.0,38,
Belgium,BE,employer_want_improve_collaboration,Employers want management to spend more time improving team collaboration,employer,68.0,90.0,38,
Belgium,BE,talent_ai_benefits_company_more,"Talent believe AI adoption will mainly benefit companies, not them",talent,73.0,47.0,38,
Belgium,BE,talent_ai_high_proportion_tasks,Talent agree AI will impact high proportion of tasks (50-100%),talent,,52.0,38,not in RM
Belgium,BE,talent_ai_improves_productivity,Talent feel AI helps improve productivity,talent,52.0,62.0,38,
Belgium,BE,talent_confident_use_technology,Talent feel confident using latest technology,talent,66.0,69.0,38,
Belgium,BE,talent_job_security_retention,Job security as reason for staying in current role,talent,28.0,23.0,38,
Belgium,BE,talent_left_lack_independence,Talent left because they weren't given enough independence,talent,26.0,25.0,38,
Belgium,BE,talent_manager_best_interests,Talent believe their manager has their best interests in mind,talent,69.0,71.0,38,
Belgium,BE,talent_multigenerational_more_productive,Talent believe they are more productive when collaborating across generations,talent,74.0,78.0,38,
Belgium,BE,talent_no_hours_flexibility,Talent would not accept a role without working hours flexibility,talent,26.0,43.0,38,
Belgium,BE,talent_no_location_flexibility,Talent would not accept a new job without work location flexibility,talent,45.0,43.0,38,
Belgium,BE,talent_optimism,Talent share optimism about business outlook,talent,41.0,51.0,38,
Belgium,BE,talent_pay_attracts,Pay attracts talent (primary attraction driver),talent,78.0,81.0,38,
Belgium,BE,talent_pay_retention_reason,Pay/benefits as reason for staying in current role,talent,21.0,23.0,38,
Belgium,BE,talent_quit_personal_life,Talent quit jobs that didn't fit their personal lives,talent,37.0,39.0,38,
Belgium,BE,talent_rely_different_generations,Talent rely on people from different generations to broaden perspectives,talent,73.0,74.0,38,
Belgium,BE,talent_second_job,Talent taking on or looking for a second job,talent,66.0,40.0,38,
Belgium,BE,talent_strong_manager_relationship,Talent say they have a strong relationship with their manager,talent,66.0,72.0,38,
Belgium,BE,talent_trust_colleagues,Talent trust their colleagues,talent,71.0,76.0,38,
Belgium,BE,talent_trust_leadership,Talent trust the leadership of their company,talent,68.0,72.0,38,
Belgium,BE,talent_want_linear_career,"Talent want to follow a traditional, linear career path",talent,37.0,41.0,38,
Belgium,BE,talent_want_portfolio_career,Talent want to have a portfolio career (switching sectors and jobs),talent,34.0,38.0,38,
Belgium,BE,talent_wlb_attracts,"Work-life balance attracts talent (primary attraction driver, NL/LU/TR only)",talent,,78.0,38,not in RM — pay is primary attraction driver for this country
Belgium,BE,talent_wlb_main_retention_reason,Work-life balance is main reason for staying in current role,talent,45.0,46.0,38,
Brazil,BR,employer_ai_high_proportion_tasks,Employers estimate AI will impact high proportion of tasks (50-100%),employer,68.0,68.0,39,
Brazil,BR,employer_ai_improves_productivity,Employers feel AI helps improve productivity,employer,50.0,54.0,39,
Brazil,BR,employer_autonomy_engagement,"Employers agree greater autonomy leads to higher engagement, productivity and retention",employer,53.0,72.0,39,
Brazil,BR,employer_confident_growth,Employers confident of growing next year,employer,100.0,95.0,39,
Brazil,BR,employer_generational_diversity_productivity,Employers highlight generational diversity as a productivity lever,employer,100.0,95.0,39,
Brazil,BR,employer_remote_collaboration_challenging,Employers say remote/hybrid work has made collaboration more challenging,employer,85.0,81.0,39,
Brazil,BR,employer_want_improve_collaboration,Employers want management to spend more time improving team collaboration,employer,90.0,90.0,39,
Brazil,BR,talent_ai_benefits_company_more,"Talent believe AI adoption will mainly benefit companies, not them",talent,84.0,47.0,39,
Brazil,BR,talent_ai_high_proportion_tasks,Talent agree AI will impact high proportion of tasks (50-100%),talent,,52.0,39,not in RM
Brazil,BR,talent_ai_improves_productivity,Talent feel AI helps improve productivity,talent,81.0,62.0,39,
Brazil,BR,talent_confident_use_technology,Talent feel confident using latest technology,talent,85.0,69.0,39,
Brazil,BR,talent_job_security_retention,Job security as reason for staying in current role,talent,18.0,23.0,39,
Brazil,BR,talent_left_lack_independence,Talent left because they weren't given enough independence,talent,19.0,25.0,39,
Brazil,BR,talent_manager_best_interests,Talent believe their manager has their best interests in mind,talent,75.0,71.0,39,
Brazil,BR,talent_multigenerational_more_productive,Talent believe they are more productive when collaborating across generations,talent,86.0,78.0,39,
Brazil,BR,talent_no_hours_flexibility,Talent would not accept a role without working hours flexibility,talent,44.0,43.0,39,
Brazil,BR,talent_no_location_flexibility,Talent would not accept a new job without work location flexibility,talent,43.0,43.0,39,
Brazil,BR,talent_optimism,Talent share optimism about business outlook,talent,68.0,51.0,39,
Brazil,BR,talent_pay_attracts,Pay attracts talent (primary attraction driver),talent,89.0,81.0,39,
Brazil,BR,talent_pay_retention_reason,Pay/benefits as reason for staying in current role,talent,26.0,23.0,39,
Brazil,BR,talent_quit_personal_life,Talent quit jobs that didn't fit their personal lives,talent,42.0,39.0,39,
Brazil,BR,talent_rely_different_generations,Talent rely on people from different generations to broaden perspectives,talent,84.0,74.0,39,
Brazil,BR,talent_second_job,Talent taking on or looking for a second job,talent,78.0,40.0,39,
Brazil,BR,talent_strong_manager_relationship,Talent say they have a strong relationship with their manager,talent,78.0,72.0,39,
Brazil,BR,talent_trust_colleagues,Talent trust their colleagues,talent,77.0,76.0,39,
Brazil,BR,talent_trust_leadership,Talent trust the leadership of their company,talent,78.0,72.0,39,
Brazil,BR,talent_want_linear_career,"Talent want to follow a traditional, linear career path",talent,55.0,41.0,39,
Brazil,BR,talent_want_portfolio_career,Talent want to have a portfolio career (switching sectors and jobs),talent,32.0,38.0,39,
Brazil,BR,talent_wlb_attracts,"Work-life balance attracts talent (primary attraction driver, NL/LU/TR only)",talent,,78.0,39,not in RM — pay is primary attraction driver for this country
Brazil,BR,talent_wlb_main_retention_reason,Work-life balance is main reason for staying in current role,talent,45.0,46.0,39,
Canada,CA,employer_ai_high_proportion_tasks,Employers estimate AI will impact high proportion of tasks (50-100%),employer,62.0,68.0,40,
Canada,CA,employer_ai_improves_productivity,Employers feel AI helps improve productivity,employer,44.0,54.0,40,
Canada,CA,employer_autonomy_engagement,"Employers agree greater autonomy leads to higher engagement, productivity and retention",employer,70.0,72.0,40,
Canada,CA,employer_confident_growth,Employers confident of growing next year,employer,98.0,95.0,40,
Canada,CA,employer_generational_diversity_productivity,Employers highlight generational diversity as a productivity lever,employer,100.0,95.0,40,
Canada,CA,employer_remote_collaboration_challenging,Employers say remote/hybrid work has made collaboration more challenging,employer,78.0,81.0,40,
Canada,CA,employer_want_improve_collaboration,Employers want management to spend more time improving team collaboration,employer,90.0,90.0,40,
Canada,CA,talent_ai_benefits_company_more,"Talent believe AI adoption will mainly benefit companies, not them",talent,73.0,47.0,40,
Canada,CA,talent_ai_high_proportion_tasks,Talent agree AI will impact high proportion of tasks (50-100%),talent,,52.0,40,not in RM
Canada,CA,talent_ai_improves_productivity,Talent feel AI helps improve productivity,talent,57.0,62.0,40,
Canada,CA,talent_confident_use_technology,Talent feel confident using latest technology,talent,62.0,69.0,40,
Canada,CA,talent_job_security_retention,Job security as reason for staying in current role,talent,25.0,23.0,40,
Canada,CA,talent_left_lack_independence,Talent left because they weren't given enough independence,talent,22.0,25.0,40,
Canada,CA,talent_manager_best_interests,Talent believe their manager has their best interests in mind,talent,75.0,71.0,40,
Canada,CA,talent_multigenerational_more_productive,Talent believe they are more productive when collaborating across generations,talent,78.0,78.0,40,
Canada,CA,talent_no_hours_flexibility,Talent would not accept a role without working hours flexibility,talent,22.0,43.0,40,
Canada,CA,talent_no_location_flexibility,Talent would not accept a new job without work location flexibility,talent,43.0,43.0,40,
Canada,CA,talent_optimism,Talent share optimism about business outlook,talent,41.0,51.0,40,
Canada,CA,talent_pay_attracts,Pay attracts talent (primary attraction driver),talent,82.0,81.0,40,
Canada,CA,talent_pay_retention_reason,Pay/benefits as reason for staying in current role,talent,26.0,23.0,40,
Canada,CA,talent_quit_personal_life,Talent quit jobs that didn't fit their personal lives,talent,32.0,39.0,40,
Canada,CA,talent_rely_different_generations,Talent rely on people from different generations to broaden perspectives,talent,73.0,74.0,40,
Canada,CA,talent_second_job,Talent taking on or looking for a second job,talent,,40.0,40,not in RM
Canada,CA,talent_strong_manager_relationship,Talent say they have a strong relationship with their manager,talent,74.0,72.0,40,
Canada,CA,talent_trust_colleagues,Talent trust their colleagues,talent,78.0,76.0,40,
Canada,CA,talent_trust_leadership,Talent trust the leadership of their company,talent,72.0,72.0,40,
Canada,CA,talent_want_linear_career,"Talent want to follow a traditional, linear career path",talent,42.0,41.0,40,
Canada,CA,talent_want_portfolio_career,Talent want to have a portfolio career (switching sectors and jobs),talent,35.0,38.0,40,
Canada,CA,talent_wlb_attracts,"Work-life balance attracts talent (primary attraction driver, NL/LU/TR only)",talent,,78.0,40,not in RM — pay is primary attraction driver for this country
Canada,CA,talent_wlb_main_retention_reason,Work-life balance is main reason for staying in current role,talent,43.0,46.0,40,
Chile,CL,employer_ai_high_proportion_tasks,Employers estimate AI will impact high proportion of tasks (50-100%),employer,75.0,68.0,41,
Chile,CL,employer_ai_improves_productivity,Employers feel AI helps improve productivity,employer,35.0,54.0,41,
Chile,CL,employer_autonomy_engagement,"Employers agree greater autonomy leads to higher engagement, productivity and retention",employer,70.0,72.0,41,
Chile,CL,employer_confident_growth,Employers confident of growing next year,employer,100.0,95.0,41,
Chile,CL,employer_generational_diversity_productivity,Employers highlight generational diversity as a productivity lever,employer,95.0,95.0,41,
Chile,CL,employer_remote_collaboration_challenging,Employers say remote/hybrid work has made collaboration more challenging,employer,80.0,81.0,41,
Chile,CL,employer_want_improve_collaboration,Employers want management to spend more time improving team collaboration,employer,95.0,90.0,41,
Chile,CL,talent_ai_benefits_company_more,"Talent believe AI adoption will mainly benefit companies, not them",talent,79.0,47.0,41,
Chile,CL,talent_ai_high_proportion_tasks,Talent agree AI will impact high proportion of tasks (50-100%),talent,55.0,52.0,41,
Chile,CL,talent_ai_improves_productivity,Talent feel AI helps improve productivity,talent,63.0,62.0,41,
Chile,CL,talent_confident_use_technology,Talent feel confident using latest technology,talent,74.0,69.0,41,
Chile,CL,talent_job_security_retention,Job security as reason for staying in current role,talent,20.0,23.0,41,
Chile,CL,talent_left_lack_independence,Talent left because they weren't given enough independence,talent,25.0,25.0,41,
Chile,CL,talent_manager_best_interests,Talent believe their manager has their best interests in mind,talent,66.0,71.0,41,
Chile,CL,talent_multigenerational_more_productive,Talent believe they are more productive when collaborating across generations,talent,83.0,78.0,41,
Chile,CL,talent_no_hours_flexibility,Talent would not accept a role without working hours flexibility,talent,41.0,43.0,41,
Chile,CL,talent_no_location_flexibility,Talent would not accept a new job without work location flexibility,talent,25.0,43.0,41,
Chile,CL,talent_optimism,Talent share optimism about business outlook,talent,56.0,51.0,41,
Chile,CL,talent_pay_attracts,Pay attracts talent (primary attraction driver),talent,88.0,81.0,41,
Chile,CL,talent_pay_retention_reason,Pay/benefits as reason for staying in current role,talent,24.0,23.0,41,
Chile,CL,talent_quit_personal_life,Talent quit jobs that didn't fit their personal lives,talent,42.0,39.0,41,
Chile,CL,talent_rely_different_generations,Talent rely on people from different generations to broaden perspectives,talent,79.0,74.0,41,
Chile,CL,talent_second_job,Talent taking on or looking for a second job,talent,63.0,40.0,41,
Chile,CL,talent_strong_manager_relationship,Talent say they have a strong relationship with their manager,talent,63.0,72.0,41,
Chile,CL,talent_trust_colleagues,Talent trust their colleagues,talent,74.0,76.0,41,
Chile,CL,talent_trust_leadership,Talent trust the leadership of their company,talent,70.0,72.0,41,
Chile,CL,talent_want_linear_career,"Talent want to follow a traditional, linear career path",talent,48.0,41.0,41,
Chile,CL,talent_want_portfolio_career,Talent want to have a portfolio career (switching sectors and jobs),talent,41.0,38.0,41,
Chile,CL,talent_wlb_attracts,"Work-life balance attracts talent (primary attraction driver, NL/LU/TR only)",talent,,78.0,41,not in RM — pay is primary attraction driver for this country
Chile,CL,talent_wlb_main_retention_reason,Work-life balance is main reason for staying in current role,talent,47.0,46.0,41,
China,CN,employer_ai_high_proportion_tasks,Employers estimate AI will impact high proportion of tasks (50-100%),employer,66.0,68.0,42,
China,CN,employer_ai_improves_productivity,Employers feel AI helps improve productivity,employer,50.0,54.0,42,
China,CN,employer_autonomy_engagement,"Employers agree greater autonomy leads to higher engagement, productivity and retention",employer,40.0,72.0,42,
China,CN,employer_confident_growth,Employers confident of growing next year,employer,100.0,95.0,42,
China,CN,employer_generational_diversity_productivity,Employers highlight generational diversity as a productivity lever,employer,98.0,95.0,42,
China,CN,employer_remote_collaboration_challenging,Employers say remote/hybrid work has made collaboration more challenging,employer,100.0,81.0,42,
China,CN,employer_want_improve_collaboration,Employers want management to spend more time improving team collaboration,employer,98.0,90.0,42,
China,CN,talent_ai_benefits_company_more,"Talent believe AI adoption will mainly benefit companies, not them",talent,78.0,47.0,42,
China,CN,talent_ai_high_proportion_tasks,Talent agree AI will impact high proportion of tasks (50-100%),talent,,52.0,42,not in RM
China,CN,talent_ai_improves_productivity,Talent feel AI helps improve productivity,talent,84.0,62.0,42,
China,CN,talent_confident_use_technology,Talent feel confident using latest technology,talent,81.0,69.0,42,
China,CN,talent_job_security_retention,Job security as reason for staying in current role,talent,17.0,23.0,42,
China,CN,talent_left_lack_independence,Talent left because they weren't given enough independence,talent,34.0,25.0,42,
China,CN,talent_manager_best_interests,Talent believe their manager has their best interests in mind,talent,69.0,71.0,42,
China,CN,talent_multigenerational_more_productive,Talent believe they are more productive when collaborating across generations,talent,81.0,78.0,42,
China,CN,talent_no_hours_flexibility,Talent would not accept a role without working hours flexibility,talent,34.0,43.0,42,
China,CN,talent_no_location_flexibility,Talent would not accept a new job without work location flexibility,talent,34.0,43.0,42,
China,CN,talent_optimism,Talent share optimism about business outlook,talent,65.0,51.0,42,
China,CN,talent_pay_attracts,Pay attracts talent (primary attraction driver),talent,80.0,81.0,42,
China,CN,talent_pay_retention_reason,Pay/benefits as reason for staying in current role,talent,27.0,23.0,42,
China,CN,talent_quit_personal_life,Talent quit jobs that didn't fit their personal lives,talent,45.0,39.0,42,
China,CN,talent_rely_different_generations,Talent rely on people from different generations to broaden perspectives,talent,78.0,74.0,42,
China,CN,talent_second_job,Talent taking on or looking for a second job,talent,74.0,40.0,42,
China,CN,talent_strong_manager_relationship,Talent say they have a strong relationship with their manager,talent,74.0,72.0,42,
China,CN,talent_trust_colleagues,Talent trust their colleagues,talent,83.0,76.0,42,
China,CN,talent_trust_leadership,Talent trust the leadership of their company,talent,83.0,72.0,42,
China,CN,talent_want_linear_career,"Talent want to follow a traditional, linear career path",talent,61.0,41.0,42,
China,CN,talent_want_portfolio_career,Talent want to have a portfolio career (switching sectors and jobs),talent,61.0,38.0,42,
China,CN,talent_wlb_attracts,"Work-life balance attracts talent (primary attraction driver, NL/LU/TR only)",talent,,78.0,42,not in RM — pay is primary attraction driver for this country
China,CN,talent_wlb_main_retention_reason,Work-life balance is main reason for staying in current role,talent,44.0,46.0,42,
Czech Republic,CZ,employer_ai_high_proportion_tasks,Employers estimate AI will impact high proportion of tasks (50-100%),employer,70.0,68.0,43,
Czech Republic,CZ,employer_ai_improves_productivity,Employers feel AI helps improve productivity,employer,50.0,54.0,43,
Czech Republic,CZ,employer_autonomy_engagement,"Employers agree greater autonomy leads to higher engagement, productivity and retention",employer,75.0,72.0,43,
Czech Republic,CZ,employer_confident_growth,Employers confident of growing next year,employer,100.0,95.0,43,
Czech Republic,CZ,employer_generational_diversity_productivity,Employers highlight generational diversity as a productivity lever,employer,100.0,95.0,43,
Czech Republic,CZ,employer_remote_collaboration_challenging,Employers say remote/hybrid work has made collaboration more challenging,employer,90.0,81.0,43,
Czech Republic,CZ,employer_want_improve_collaboration,Employers want management to spend more time improving team collaboration,employer,100.0,90.0,43,
Czech Republic,CZ,talent_ai_benefits_company_more,"Talent believe AI adoption will mainly benefit companies, not them",talent,68.0,47.0,43,
Czech Republic,CZ,talent_ai_high_proportion_tasks,Talent agree AI will impact high proportion of tasks (50-100%),talent,,52.0,43,not in RM
Czech Republic,CZ,talent_ai_improves_productivity,Talent feel AI helps improve productivity,talent,46.0,62.0,43,
Czech Republic,CZ,talent_confident_use_technology,Talent feel confident using latest technology,talent,59.0,69.0,43,
Czech Republic,CZ,talent_job_security_retention,Job security as reason for staying in current role,talent,36.0,23.0,43,
Czech Republic,CZ,talent_left_lack_independence,Talent left because they weren't given enough independence,talent,25.0,25.0,43,
Czech Republic,CZ,talent_manager_best_interests,Talent believe their manager has their best interests in mind,talent,59.0,71.0,43,
Czech Republic,CZ,talent_multigenerational_more_productive,Talent believe they are more productive when collaborating across generations,talent,74.0,78.0,43,
Czech Republic,CZ,talent_no_hours_flexibility,Talent would not accept a role without working hours flexibility,talent,27.0,43.0,43,
Czech Republic,CZ,talent_no_location_flexibility,Talent would not accept a new job without work location flexibility,talent,29.0,43.0,43,
Czech Republic,CZ,talent_optimism,Talent share optimism about business outlook,talent,41.0,51.0,43,
Czech Republic,CZ,talent_pay_attracts,Pay attracts talent (primary attraction driver),talent,72.0,81.0,43,
Czech Republic,CZ,talent_pay_retention_reason,Pay/benefits as reason for staying in current role,talent,16.0,23.0,43,
Czech Republic,CZ,talent_quit_personal_life,Talent quit jobs that didn't fit their personal lives,talent,43.0,39.0,43,
Czech Republic,CZ,talent_rely_different_generations,Talent rely on people from different generations to broaden perspectives,talent,68.0,74.0,43,
Czech Republic,CZ,talent_second_job,Talent taking on or looking for a second job,talent,,40.0,43,not in RM
Czech Republic,CZ,talent_strong_manager_relationship,Talent say they have a strong relationship with their manager,talent,52.0,72.0,43,
Czech Republic,CZ,talent_trust_colleagues,Talent trust their colleagues,talent,69.0,76.0,43,
Czech Republic,CZ,talent_trust_leadership,Talent trust the leadership of their company,talent,62.0,72.0,43,
Czech Republic,CZ,talent_want_linear_career,"Talent want to follow a traditional, linear career path",talent,30.0,41.0,43,
Czech Republic,CZ,talent_want_portfolio_career,Talent want to have a portfolio career (switching sectors and jobs),talent,25.0,38.0,43,
Czech Republic,CZ,talent_wlb_attracts,"Work-life balance attracts talent (primary attraction driver, NL/LU/TR only)",talent,,78.0,43,not in RM — pay is primary attraction driver for this country
Czech Republic,CZ,talent_wlb_main_retention_reason,Work-life balance is main reason for staying in current role,talent,40.0,46.0,43,
Denmark,DK,employer_ai_high_proportion_tasks,Employers estimate AI will impact high proportion of tasks (50-100%),employer,54.0,68.0,44,
Denmark,DK,employer_ai_improves_productivity,Employers feel AI helps improve productivity,employer,71.0,54.0,44,
Denmark,DK,employer_autonomy_engagement,"Employers agree greater autonomy leads to higher engagement, productivity and retention",employer,80.0,72.0,44,
Denmark,DK,employer_confident_growth,Employers confident of growing next year,employer,100.0,95.0,44,
Denmark,DK,employer_generational_diversity_productivity,Employers highlight generational diversity as a productivity lever,employer,91.0,95.0,44,
Denmark,DK,employer_remote_collaboration_challenging,Employers say remote/hybrid work has made collaboration more challenging,employer,80.0,81.0,44,
Denmark,DK,employer_want_improve_collaboration,Employers want management to spend more time improving team collaboration,employer,100.0,90.0,44,
Denmark,DK,talent_ai_benefits_company_more,"Talent believe AI adoption will mainly benefit companies, not them",talent,73.0,47.0,44,
Denmark,DK,talent_ai_high_proportion_tasks,Talent agree AI will impact high proportion of tasks (50-100%),talent,,52.0,44,not in RM
Denmark,DK,talent_ai_improves_productivity,Talent feel AI helps improve productivity,talent,59.0,62.0,44,
Denmark,DK,talent_confident_use_technology,Talent feel confident using latest technology,talent,70.0,69.0,44,
Denmark,DK,talent_job_security_retention,Job security as reason for staying in current role,talent,20.0,23.0,44,
Denmark,DK,talent_left_lack_independence,Talent left because they weren't given enough independence,talent,31.0,25.0,44,
Denmark,DK,talent_manager_best_interests,Talent believe their manager has their best interests in mind,talent,80.0,71.0,44,
Denmark,DK,talent_multigenerational_more_productive,Talent believe they are more productive when collaborating across generations,talent,77.0,78.0,44,
Denmark,DK,talent_no_hours_flexibility,Talent would not accept a role without working hours flexibility,talent,47.0,43.0,44,
Denmark,DK,talent_no_location_flexibility,Talent would not accept a new job without work location flexibility,talent,46.0,43.0,44,
Denmark,DK,talent_optimism,Talent share optimism about business outlook,talent,50.0,51.0,44,
Denmark,DK,talent_pay_attracts,Pay attracts talent (primary attraction driver),talent,76.0,81.0,44,
Denmark,DK,talent_pay_retention_reason,Pay/benefits as reason for staying in current role,talent,23.0,23.0,44,
Denmark,DK,talent_quit_personal_life,Talent quit jobs that didn't fit their personal lives,talent,47.0,39.0,44,
Denmark,DK,talent_rely_different_generations,Talent rely on people from different generations to broaden perspectives,talent,73.0,74.0,44,
Denmark,DK,talent_second_job,Talent taking on or looking for a second job,talent,79.0,40.0,44,
Denmark,DK,talent_strong_manager_relationship,Talent say they have a strong relationship with their manager,talent,79.0,72.0,44,
Denmark,DK,talent_trust_colleagues,Talent trust their colleagues,talent,81.0,76.0,44,
Denmark,DK,talent_trust_leadership,Talent trust the leadership of their company,talent,79.0,72.0,44,
